,Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
0,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,1.0,152.0,False,True,False,False,True,False
1,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,2.0,145.0,False,True,False,False,True,False
2,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,5.0,136.0,False,True,False,False,True,False
3,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,10.0,120.0,False,True,False,False,True,False
4,23,4,5,1.63,1.44,0,0,1,0,5.5,6.0,0.5,15.0,90.0,False,True,False,False,True,False
5,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,0.2,320.7,False,True,False,False,True,False
6,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,0.5,289.9,False,True,False,False,True,False
7,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,1.0,269.7,False,True,False,False,True,False
8,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,2.0,238.4,False,True,False,False,True,False
9,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,4.0,198.7,False,True,False,False,True,False
10,23,4,5,1.63,1.44,0,0,3,0,15.59,2.0,0.55,10.0,155.8,False,True,False,False,True,False
11,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,0.2,836.7,False,True,False,False,True,False
12,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,0.5,789.8,False,True,False,False,True,False
13,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,1.0,702.2,False,True,False,False,True,False
14,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,2.0,616.5,False,True,False,False,True,False
15,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,4.0,468.9,False,True,False,False,True,False
16,23,4,5,1.63,1.44,3,3,3,2,69.72,2.0,0.55,10.0,407.3,False,True,False,False,True,False
17,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,1.0,211.0,False,True,False,False,True,False
18,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,2.0,202.56,False,True,False,False,True,False
19,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,10.0,170.91,False,True,False,False,True,False
20,23,4,5,1.63,1.44,2,4,3,1,32.3,2.0,0.5,20.0,135.04,False,True,False,False,True,False
21,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,0.5,163.0,False,True,False,False,True,False
22,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,1.0,92.0,False,True,False,False,True,False
23,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,2.0,82.0,False,True,False,False,True,False
24,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,3.0,78.0,False,True,False,False,True,False
25,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,5.0,75.0,False,True,False,False,True,False
26,26,4,8,1.83,1.24,0,0,3,0,4.04,6.0,0.55,10.0,74.0,False,True,False,False,True,False
27,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,0.5,312.0,False,True,False,False,True,False
28,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,1.0,288.0,False,True,False,False,True,False
29,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,2.0,268.0,False,True,False,False,True,False
30,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,3.0,216.0,False,True,False,False,True,False
31,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,5.0,200.0,False,True,False,False,True,False
32,26,4,8,1.83,1.24,2,2,2,1,8.39,6.0,0.55,10.0,172.0,False,True,False,False,True,False
33,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,1.0,529.0,False,True,False,False,True,False
34,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,2.0,481.0,False,True,False,False,True,False
35,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,5.0,443.0,False,True,False,False,True,False
36,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,10.0,401.0,False,True,False,False,True,False
37,26,4,8,1.83,1.24,2,2,3,1,218.4,6.0,0.6,20.0,349.0,False,True,False,False,True,False
38,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,1.0,216.0,False,True,False,False,True,False
39,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,2.0,160.0,False,True,False,False,True,False
40,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,3.0,140.0,False,True,False,False,True,False
41,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,4.0,121.0,False,True,False,False,True,False
42,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,5.0,109.0,False,True,False,False,True,False
43,42,5,6,2.16,1.46,0,0,2,0,24.0,6.0,1.0,7.0,86.0,False,True,False,False,True,False
44,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,1.0,471.0,False,True,False,False,True,False
45,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,2.0,398.0,False,True,False,False,True,False
46,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,3.0,369.0,False,True,False,False,True,False
47,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,5.0,356.0,False,True,False,False,True,False
48,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,10.0,335.0,False,True,False,False,True,False
49,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,15.0,321.0,False,True,False,False,True,False
50,26,4,8,1.83,1.24,0,0,3,0,23.8,2.0,1.1,20.0,307.0,False,True,False,False,True,False
51,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,2.0,228.0,False,True,False,False,True,False
52,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,4.0,170.0,False,True,False,False,True,False
53,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,6.0,140.0,False,True,False,False,True,False
54,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,8.0,119.0,False,True,False,False,True,False
55,26,4,8,1.83,1.24,3,3,3,2,17.37,1.0,1.0,10.0,91.0,False,True,False,False,True,False
56,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,2.0,303.0,False,True,False,False,True,False
57,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,4.0,235.0,False,True,False,False,True,False
58,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,6.0,210.0,False,True,False,False,True,False
59,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,8.0,192.0,False,True,False,False,True,False
60,26,4,8,1.83,1.24,3,3,3,2,27.36,1.0,1.0,10.0,176.0,False,True,False,False,True,False
61,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,2.0,105.0,False,True,False,False,True,False
62,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,4.0,84.0,False,True,False,False,True,False
63,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,6.0,74.0,False,True,False,False,True,False
64,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,8.0,63.0,False,True,False,False,True,False
65,26,4,8,1.83,1.24,3,3,3,2,11.0,1.0,1.0,10.0,60.0,False,True,False,False,True,False
66,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,3.0,459.0,False,True,False,False,True,False
67,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,5.0,372.0,False,True,False,False,True,False
68,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,10.0,309.0,False,True,False,False,True,False
69,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,15.0,299.0,False,True,False,False,True,False
70,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,20.0,289.0,False,True,False,False,True,False
71,26,4,8,1.83,1.24,0,0,3,0,3.6,2.0,1.1,30.0,269.0,False,True,False,False,True,False
72,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,3.0,721.0,False,True,False,False,True,False
73,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,5.0,650.0,False,True,False,False,True,False
74,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,10.0,621.0,False,True,False,False,True,False
75,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,15.0,617.0,False,True,False,False,True,False
76,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,20.0,614.0,False,True,False,False,True,False
77,26,4,8,1.83,1.24,2,2,3,1,135.0,2.0,1.1,30.0,589.0,False,True,False,False,True,False
78,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,3.0,769.0,False,True,False,False,True,False
79,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,5.0,708.0,False,True,False,False,True,False
80,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,10.0,637.0,False,True,False,False,True,False
81,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,15.0,587.0,False,True,False,False,True,False
82,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,20.0,570.0,False,True,False,False,True,False
83,26,4,8,1.83,1.24,2,2,4,1,165.0,2.0,1.1,30.0,555.0,False,True,False,False,True,False
84,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,1.0,1301.0,False,True,False,False,True,False
85,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,2.5,1073.0,False,True,False,False,True,False
86,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,5.0,883.0,False,True,False,False,True,False
87,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,10.0,650.0,False,True,False,False,True,False
88,27,4,9,1.88,1.18,0,0,5,0,127.6,2.0,0.5,20.0,450.0,False,True,False,False,True,False
89,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,1.0,1180.0,False,True,False,False,True,False
90,27,4,9,1.88,1.18,0,0,5,0,98.3,2.0,0.5,2.5,952.0,False,True,False,False,True,False
