Z,Period,Group,EN,CR,CM_type,CM_morph,MS2_morph,CP_morph,SSA,C,PW,CD,Cs,Cation_H,Cation_K,Cation_Li,Cation_Na,Anion_OH,Anion_SO4
23,4,5,1.63,1.44,0,0,1,0,5.5,6,0.5,1,152,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,1,0,5.5,6,0.5,2,145,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,1,0,5.5,6,0.5,5,136,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,1,0,5.5,6,0.5,10,120,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,1,0,5.5,6,0.5,15,90,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,0.2,320.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,0.5,289.9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,1,269.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,2,238.4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,4,198.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,0,0,3,0,15.59,2,0.55,10,155.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,0.2,836.7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,0.5,789.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,1,702.2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,2,616.5,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,4,468.9,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
23,4,5,1.63,1.44,3,3,3,2,69.72,2,0.55,10,407.3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,0.5,163,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,1,92,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,2,82,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,3,78,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,5,75,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,4.04,6,0.55,10,74,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,218.4,6,0.6,1,529,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,218.4,6,0.6,2,481,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,218.4,6,0.6,5,443,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,218.4,6,0.6,10,401,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,218.4,6,0.6,20,349,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,1,471,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,2,398,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,3,369,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,5,356,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,10,335,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,15,321,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,23.8,2,1.1,20,307,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,17.37,1,1,2,228,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,17.37,1,1,4,170,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,17.37,1,1,6,140,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,17.37,1,1,8,119,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,17.37,1,1,10,91,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,27.36,1,1,2,303,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,27.36,1,1,4,235,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,27.36,1,1,6,210,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,27.36,1,1,8,192,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,3,3,3,2,27.36,1,1,10,176,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,3,459,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,5,372,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,10,309,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,15,299,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,20,289,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,0,0,3,0,3.6,2,1.1,30,269,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,3,721,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,5,650,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,10,621,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,15,617,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,20,614,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
26,4,8,1.83,1.24,2,2,3,1,135,2,1.1,30,589,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,1,1301,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,2.5,1073,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,5,883,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
27,4,9,1.88,1.18,0,0,5,0,127.6,2,0.5,10,650,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
